dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Davidson et al.	Davidson et al.	41	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6790073640673863	0.7582158203716032	0.8409746928911861	0.7974538510502864	7.349764324516482	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.359848699808313
Davidson et al.	Davidson et al.	42	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.668616967618279	0.7435695696907342	0.8404131609549217	0.7890308907584612	6.738487695620662	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.64663255397498
Davidson et al.	Davidson et al.	43	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6764854231816806	0.756763299642922	0.8392509564400296	0.7958755012411686	7.297798237742395	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.796249968472559
Davidson et al.	Davidson et al.	44	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6682638958942803	0.7433274829026206	0.840197017375838	0.7887993320702611	6.40530768338383	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	9.086832879338177
Davidson et al.	Davidson et al.	45	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6800161404216685	0.7608182533438238	0.840139009556907	0.7985136251032205	7.656649936547881	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.657031880548829
Davidson et al.	Davidson et al.	46	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6625138706748713	0.7388488773225201	0.8370817334064728	0.7849037194200663	6.1812029281249865	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.846246973365618
Davidson et al.	Davidson et al.	47	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6852617774639362	0.7651758155298675	0.8426981270412585	0.8020681342384065	7.388665648842993	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.171519528097256
Davidson et al.	Davidson et al.	48	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6667002925451427	0.7416933970828542	0.8396711202466598	0.7876470210167748	5.984718028945638	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	9.859948799435028
Davidson et al.	Davidson et al.	49	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6854130939170786	0.7715305937178478	0.8381328073635766	0.8034538177922038	8.198036179705609	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.120743007213479
Davidson et al.	Davidson et al.	50	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6568647230908907	0.729710101071234	0.8376406836181742	0.779959245722418	5.8386209373046976	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.47715206315577
Davidson et al.	Davidson et al.	51	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6891455664279229	0.7729225927495007	0.8411935186404953	0.8056142564264311	7.533688803343483	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.657515432682607
Davidson et al.	Davidson et al.	52	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6708867144154141	0.7459299158748411	0.8411820911820912	0.7906976744186047	5.682933284021057	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	10.125146602602905
Davidson et al.	Davidson et al.	53	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6917683849490568	0.7800036313018217	0.838844051028378	0.8083545018346036	7.705429269364848	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.8050366664144475
Davidson et al.	Davidson et al.	54	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6674064359931403	0.7431459178115354	0.8393601749948731	0.7883281972265023	6.389879038701153	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.136989097810735
Davidson et al.	Davidson et al.	55	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6836981741147987	0.7663257277734068	0.8401008492569002	0.801519227725906	7.639278066491403	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.162507803041768
Davidson et al.	Davidson et al.	56	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.665035811560577	0.7365490528354415	0.8417485129340158	0.7856428133372068	5.808421407880641	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	8.986411672719935
Davidson et al.	Davidson et al.	57	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6947947140119035	0.775646069115778	0.8453825857519789	0.8090142978884576	7.3150434837468294	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.128892850837369
Davidson et al.	Davidson et al.	58	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6738121658428327	0.7513163469103674	0.8403736799350122	0.7933535708579647	6.473941991923977	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.838721373083132
Davidson et al.	Davidson et al.	59	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.686068798547362	0.7695333777159111	0.840327803846408	0.8033739811714159	8.202781822322343	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.8583503581517355
Davidson et al.	Davidson et al.	60	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6634217693937254	0.7364885311384132	0.8399364991717283	0.7848182902840928	5.657352054803364	0.8502824858757062	0.9985761746559089	0.8511326860841424	0.9189779427822669	9.656531382415254
Davidson et al.	Davidson et al.	61	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6979219207101786	0.7842401500938087	0.8424132102457418	0.8122864754740637	7.79535292694021	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.190125447689669
Davidson et al.	Davidson et al.	62	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6678603853525673	0.7415723536887975	0.8410900604063701	0.78820237367727	5.349117670797092	0.8502824858757062	0.9985761746559089	0.8511326860841424	0.9189779427822669	9.826623505599274
Davidson et al.	Davidson et al.	63	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7036719459295874	0.7892634509471645	0.8449527018271349	0.816159213943737	8.216238299881331	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.515615935860573
Davidson et al.	Davidson et al.	64	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6585796428931706	0.732373055740483	0.8375553709856035	0.781440702592748	5.9280678483464095	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	8.669769755094835
Davidson et al.	Davidson et al.	65	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6931302330273379	0.7769170247533741	0.8425992779783393	0.8084262233138108	6.85940391866083	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.269778740415658
Davidson et al.	Davidson et al.	66	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6794613134268133	0.7573685166132058	0.8421265141318978	0.7975018322021477	6.621103397763053	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	9.323629975030267
Davidson et al.	Davidson et al.	67	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6809744779582366	0.7623312957695334	0.8400693610777644	0.7993146555827015	7.930175674847923	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.296610169491525
Davidson et al.	Davidson et al.	68	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6622616765863009	0.7335229679840223	0.8409075140498161	0.7835531419705197	6.104033923565193	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	9.460873656930993
Davidson et al.	Davidson et al.	69	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6878845959850701	0.7715911154148762	0.8407966761195014	0.8047087041595657	7.641883015813013	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.943203708257667
