dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Wulczyn et al.	Wulczyn et al.	32	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8024077247836809	0.12385073012439156	0.09579185141805405	0.10802905934522126	29.24168178958747	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.81725052913347
Wulczyn et al.	Wulczyn et al.	33	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8035049951929106	0.12449972958355868	0.09704890387858348	0.10907367922293296	29.645044503520726	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	42.859666801543824
Wulczyn et al.	Wulczyn et al.	34	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.803494544998537	0.12504056246619794	0.09738017016258108	0.10949043379427921	28.14164354763257	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.53370891434263
Wulczyn et al.	Wulczyn et al.	35	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8093048530702671	0.1177934018388318	0.09739737053930775	0.10662880642318612	29.24277965270949	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.15279117903386
Wulczyn et al.	Wulczyn et al.	36	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8074133678886427	0.12504056246619794	0.10055671537926235	0.11147003519598861	29.71424836004049	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.768792019422314
Wulczyn et al.	Wulczyn et al.	37	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.806399699034402	0.1141157382368848	0.09261697831621456	0.10224849777088582	30.015010167622265	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.95457622634462
Wulczyn et al.	Wulczyn et al.	38	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8036512979141412	0.12276906435911303	0.09607245640765194	0.10779239280117764	28.57999690930012	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	39.453891465388445
Wulczyn et al.	Wulczyn et al.	39	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8095034067633659	0.11855056787452677	0.09806728704366499	0.10734048283629596	28.382628575785226	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	48.576140749501995
Wulczyn et al.	Wulczyn et al.	40	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8106215775613427	0.11303407247160627	0.09528585757271815	0.10340391846427865	31.314903004424696	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.28774355702191
Wulczyn et al.	Wulczyn et al.	41	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8042992099653054	0.11952406706327745	0.09450906602805337	0.10555475951664517	30.06897665978634	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.979515531623505
Wulczyn et al.	Wulczyn et al.	42	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8035885967478995	0.12590589507842076	0.09799629567267217	0.11021161766794489	28.381523324056687	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	40.24312515562749
Wulczyn et al.	Wulczyn et al.	43	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.809472056180245	0.11649540292049756	0.09666995781348173	0.10566074757186303	28.63194714246977	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.64937126494024
Wulczyn et al.	Wulczyn et al.	44	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8101826693976508	0.11184424012979989	0.09411122235369072	0.1022143139580862	30.67289448310384	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.970224570468126
Wulczyn et al.	Wulczyn et al.	45	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8064728503950174	0.11519740400216333	0.09338828481234654	0.10315269504576492	30.7371858040216	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.75909253610558
Wulczyn et al.	Wulczyn et al.	46	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8025540275049116	0.12266089778258518	0.09515817739363934	0.1071732350439467	29.1918945532277	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	41.55370704681275
Wulczyn et al.	Wulczyn et al.	47	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8059607908707102	0.12395889670091942	0.09866551872578562	0.10987535953978907	28.443743007964315	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.576669882968126
Wulczyn et al.	Wulczyn et al.	48	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8083643355766418	0.12287723093564089	0.09995600527936647	0.11023774866569627	30.141520139341175	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.31985728959163
Wulczyn et al.	Wulczyn et al.	49	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8049471220164695	0.1283937263385614	0.10064439545531627	0.112838062645563	29.333306849443836	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.25868012325697
Wulczyn et al.	Wulczyn et al.	50	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8060130418425783	0.12742022714981072	0.10090800068528354	0.11262488646684832	29.10966484753856	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.05981931648407
Wulczyn et al.	Wulczyn et al.	51	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8053024286251724	0.12071389940508383	0.09605784128077122	0.10698365527488857	29.85727528432627	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.8455202626992
Wulczyn et al.	Wulczyn et al.	52	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.803086987417966	0.12179556517036236	0.0950210970464135	0.10675515525005926	29.875212053127353	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.699631162848604
Wulczyn et al.	Wulczyn et al.	53	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8021778205074614	0.12179556517036236	0.09432855826422049	0.10631668397696156	29.686841539982215	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.21332638197211
Wulczyn et al.	Wulczyn et al.	54	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8016553107887807	0.12439156300703083	0.09555463232239302	0.1080827067669173	29.20566752630099	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	41.76607242903386
Wulczyn et al.	Wulczyn et al.	55	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.80200016720311	0.12936722552731206	0.09889201256821564	0.11209522470593748	28.311077892810204	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.93582700448207
Wulczyn et al.	Wulczyn et al.	56	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8058458387326004	0.12157923201730665	0.09704714211707823	0.1079368127910885	29.73647082261565	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.71642725971115
Wulczyn et al.	Wulczyn et al.	57	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8039334531622289	0.123526230394808	0.09677146004575883	0.10852418511831226	29.828180163948	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.46523670941235
Wulczyn et al.	Wulczyn et al.	58	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8028152823642519	0.12806922660897782	0.09873248832555037	0.11150350802844093	29.585683116495062	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.77409502614542
Wulczyn et al.	Wulczyn et al.	59	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8020106173974836	0.12363439697133585	0.09535329940769166	0.10766767143933684	28.727304389463523	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.03470103959163
Wulczyn et al.	Wulczyn et al.	60	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8041320068553275	0.12612222823147648	0.0985629754860524	0.11065243179122183	29.042137400142394	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.42056383839641
Wulczyn et al.	Wulczyn et al.	61	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8052606278476779	0.11833423472147106	0.09448954914493005	0.10507611775440619	29.532955055745486	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.439383092629484
